"Original","New"
"time","time"
"Activity","Activity"
"Marker","Marker"
"Ultium Motion.Switch 1 (On)","Ultium Motion.Switch 1 (On)"
"Noraxon MyoMotion-Segments-Pelvis-Orientation-x","Noraxon MyoMotion-Segments-L-Orientation-x"
"Noraxon MyoMotion-Segments-Pelvis-Orientation-y","Noraxon MyoMotion-Segments-L-Orientation-y"
"Noraxon MyoMotion-Segments-Pelvis-Orientation-z","Noraxon MyoMotion-Segments-L-Orientation-z"
"Noraxon MyoMotion-Segments-Pelvis-Orientation-w","Noraxon MyoMotion-Segments-L-Orientation-w"
"Pelvis Accel Sensor X (mG)","L Accel Sensor X (mG)"
"Pelvis Accel Sensor Y (mG)","L Accel Sensor Y (mG)"
"Pelvis Accel Sensor Z (mG)","L Accel Sensor Z (mG)"
"Noraxon MyoMotion-Segments-Pelvis-Acceleration-x (mG)","Noraxon MyoMotion-Segments-L-Acceleration-x (mG)"
"Noraxon MyoMotion-Segments-Pelvis-Acceleration-y (mG)","Noraxon MyoMotion-Segments-L-Acceleration-y (mG)"
"Noraxon MyoMotion-Segments-Pelvis-Acceleration-z (mG)","Noraxon MyoMotion-Segments-L-Acceleration-z (mG)"
"Noraxon MyoMotion-Segments-Pelvis-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-L-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Pelvis-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-L-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Pelvis-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-L-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Pelvis-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-L-Magnetometer-x (mGauss)"
"Noraxon MyoMotion-Segments-Pelvis-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-L-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Pelvis-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-L-Magnetometer-z (mGauss)"
"Pelvis course (deg)","Noraxon MyoMotion-Segments-L-Course (deg)"
"Pelvis pitch (deg)","Noraxon MyoMotion-Segments-L-Pitch (deg)"
"Pelvis roll (deg)","Noraxon MyoMotion-Segments-L-Roll (deg)"
"Pelvic Tilt Fwd (deg)","Noraxon MyoMotion-Segments-L-Tilt Fwd (deg)"
"Pelvic Tilt Lat LT (deg)","Noraxon MyoMotion-Segments-L-Tilt Lat LT (deg)"
"Pelvic Rotation LT (deg)","Noraxon MyoMotion-Segments-L-Rotation LT (deg)"
"Pelvic Tilt Lat RT (deg)","Noraxon MyoMotion-Segments-L-Tilt Lat RT (deg)"
"Pelvic Rotation RT (deg)","Noraxon MyoMotion-Segments-L-Rotation RT (deg)"
"Noraxon MyoMotion-Segments-Lower spine-Orientation-x","Noraxon MyoMotion-Segments-T-Orientation-x"
"Noraxon MyoMotion-Segments-Lower spine-Orientation-y","Noraxon MyoMotion-Segments-T-Orientation-y"
"Noraxon MyoMotion-Segments-Lower spine-Orientation-z","Noraxon MyoMotion-Segments-T-Orientation-z"
"Noraxon MyoMotion-Segments-Lower spine-Orientation-w","Noraxon MyoMotion-Segments-T-Orientation-w"
"Lower spine Accel Sensor X (mG)","T Accel Sensor X (mG)"
"Lower spine Accel Sensor Y (mG)","T Accel Sensor Y (mG)"
"Lower spine Accel Sensor Z (mG)","T Accel Sensor Z (mG)"
"Noraxon MyoMotion-Segments-Lower spine-Acceleration-x (mG)","Noraxon MyoMotion-Segments-T-Acceleration-x (mG)"
"Noraxon MyoMotion-Segments-Lower spine-Acceleration-y (mG)","Noraxon MyoMotion-Segments-T-Acceleration-y (mG)"
"Noraxon MyoMotion-Segments-Lower spine-Acceleration-z (mG)","Noraxon MyoMotion-Segments-T-Acceleration-z (mG)"
"Noraxon MyoMotion-Segments-Lower spine-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-T-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Lower spine-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-T-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Lower spine-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-T-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Lower spine-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-T-Magnetometer-x (mGauss)"
"Noraxon MyoMotion-Segments-Lower spine-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-T-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Lower spine-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-T-Magnetometer-z (mGauss)"
"Lower spine course (deg)","T course (deg)"
"Lower spine pitch (deg)","T pitch (deg)"
"Lower spine roll (deg)","T roll (deg)"
"Lower Spine Tilt Fwd (deg)","Noraxon MyoMotion-Segments-T-Tilt Fwd (deg)"
"Lower Spine Tilt Lat LT (deg)","Noraxon MyoMotion-Segments-T-Tilt Lat LT (deg)"
"Lower Spine Rotation LT (deg)","Noraxon MyoMotion-Segments-T-Rotation LT (deg)"
"Lower Spine Tilt Lat RT (deg)","Noraxon MyoMotion-Segments-T-Tilt Lat RT (deg)"
"Lower Spine Rotation RT (deg)","Noraxon MyoMotion-Segments-T-Rotation RT (deg)"
"Noraxon MyoMotion-Segments-Upper spine-Orientation-x","Noraxon MyoMotion-Segments-Scapular LT-Orientation-x"
"Noraxon MyoMotion-Segments-Upper spine-Orientation-y","Noraxon MyoMotion-Segments-Scapular LT-Orientation-y"
"Noraxon MyoMotion-Segments-Upper spine-Orientation-z","Noraxon MyoMotion-Segments-Scapular LT-Orientation-z"
"Noraxon MyoMotion-Segments-Upper spine-Orientation-w","Noraxon MyoMotion-Segments-Scapular LT-Orientation-w"
"Upper spine Accel Sensor X (mG)","Scapular Accel Sensor X LT (mG)"
"Upper spine Accel Sensor Y (mG)","Scapular Accel Sensor Y LT (mG)"
"Upper spine Accel Sensor Z (mG)","Scapular Accel Sensor Z LT (mG)"
"Noraxon MyoMotion-Segments-Upper spine-Acceleration-x (mG)","Noraxon MyoMotion-Segments-Scapular LT-Acceleration-x (mG)"
"Noraxon MyoMotion-Segments-Upper spine-Acceleration-y (mG)","Noraxon MyoMotion-Segments-Scapular LT-Acceleration-y (mG)"
"Noraxon MyoMotion-Segments-Upper spine-Acceleration-z (mG)","Noraxon MyoMotion-Segments-Scapular LT-Acceleration-z (mG)"
"Noraxon MyoMotion-Segments-Upper spine-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-Scapular LT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Upper spine-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-Scapular LT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Upper spine-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-Scapular LT-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Upper spine-Magnetometer-x (mGauss)","Noraxon MyoMotion-Segments-Scapular LT-Magnetometer-x (mGauss)"
"Noraxon MyoMotion-Segments-Upper spine-Magnetometer-y (mGauss)","Noraxon MyoMotion-Segments-Scapular LT-Magnetometer-y (mGauss)"
"Noraxon MyoMotion-Segments-Upper spine-Magnetometer-z (mGauss)","Noraxon MyoMotion-Segments-Scapular LT-Magnetometer-z (mGauss)"
"Upper spine course (deg)","Scapular course LT (deg)"
"Upper spine pitch (deg)","Scapular pitch LT (deg)"
"Upper spine roll (deg)","Scapular roll LT (deg)"
"Upper Spine Tilt Fwd (deg)","Noraxon MyoMotion-Segments-Scapular LT-Tilt Fwd (deg)"
"Upper Spine Tilt Lat LT (deg)","Noraxon MyoMotion-Segments-Scapular LT-Tilt Lat LT (deg)"
"Upper Spine Rotation LT (deg)","Noraxon MyoMotion-Segments-Scapular LT-Rotation LT (deg)"
