"Original","New"
"time","time"
"骨盆 Accel 传感器 X (mG)","L Accel Sensor X (mG)"
"骨盆 Accel 传感器 Y (mG)","L Accel Sensor Y (mG)"
"骨盆 Accel 传感器 Z (mG)","L Accel Sensor Z (mG)"
"Noraxon MyoMotion-Segments-Pelvis-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-L-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Pelvis-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-L-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Pelvis-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-L-Gyroscope-z (deg/s)"
"脊椎下部 Accel 传感器 X (mG)","T Accel Sensor X (mG)"
"脊椎下部 Accel 传感器 Y (mG)","T Accel Sensor Y (mG)"
"脊椎下部 Accel 传感器 Z (mG)","T Accel Sensor Z (mG)"
"Noraxon MyoMotion-Segments-Lower spine-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-T-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Lower spine-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-T-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Lower spine-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-T-Gyroscope-z (deg/s)"
"脊椎上部 Accel 传感器 X (mG)","Scapular LT Accel Sensor X (mG)"
"脊椎上部 Accel 传感器 Y (mG)","Scapular LT Accel Sensor Y (mG)"
"脊椎上部 Accel 传感器 Z (mG)","Scapular LT Accel Sensor Z (mG)"
"Noraxon MyoMotion-Segments-Upper spine-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-Scapular LT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Upper spine-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-Scapular LT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Upper spine-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-Scapular LT-Gyroscope-z (deg/s)"
"头部 Accel 传感器 X (mG)","Scapular RT Accel Sensor X (mG)"
"头部 Accel 传感器 Y (mG)","Scapular RT Accel Sensor Y (mG)"
"头部 Accel 传感器 Z (mG)","Scapular RT Accel Sensor Z (mG)"
"Noraxon MyoMotion-Segments-Head-Gyroscope-x (deg/s)","Noraxon MyoMotion-Segments-Scapular RT-Gyroscope-x (deg/s)"
"Noraxon MyoMotion-Segments-Head-Gyroscope-y (deg/s)","Noraxon MyoMotion-Segments-Scapular RT-Gyroscope-y (deg/s)"
"Noraxon MyoMotion-Segments-Head-Gyroscope-z (deg/s)","Noraxon MyoMotion-Segments-Scapular RT-Gyroscope-z (deg/s)"
"Noraxon MyoMotion-Segments-Foot LT-Contact","Noraxon MyoMotion-Segments-Foot LT-Contact"
"Noraxon MyoMotion-Segments-Foot RT-Contact","Noraxon MyoMotion-Segments-Foot RT-Contact"
